spread, inertia, balancing, x flow error, x total, rest, ||Ux-f||
0.00000000, 0.00000000, 0.00000000, 0.00000000, 10000.00000000, 0.00000000, 0.00000000
0.00000000, 0.00000000, 0.00100000, 0.11174822, 10000.00000000, 3029.00000000, 1144.20321622
0.00000000, 0.00000000, 0.00200000, 0.25778249, 10000.00000000, 4397.00000000, 1228.26910732
0.00000000, 0.00000000, 0.00300000, 0.40801824, 10000.00000000, 5585.00000000, 1285.00933849
0.00000000, 0.00000000, 0.00400000, 0.57685858, 10000.00000000, 6972.00000000, 1436.52427755
0.00000000, 0.05000000, 0.00000000, 0.00000000, 10000.00000000, 2416.00000000, 1083.53218688
0.00000000, 0.05000000, 0.00100000, 0.13136729, 10000.00000000, 3196.00000000, 1154.26513419
0.00000000, 0.05000000, 0.00200000, 0.27605597, 10000.00000000, 4464.00000000, 1236.11083645
0.00000000, 0.05000000, 0.00300000, 0.41391794, 10000.00000000, 5629.00000000, 1288.53443881
0.00000000, 0.05000000, 0.00400000, 0.56977393, 10000.00000000, 6917.00000000, 1425.36486557
0.00000000, 0.10000000, 0.00000000, 0.00000000, 10000.00000000, 2416.00000000, 1083.53218688
0.00000000, 0.10000000, 0.00100000, 0.19889773, 10000.00000000, 3459.00000000, 1168.28635188
0.00000000, 0.10000000, 0.00200000, 0.28131551, 10000.00000000, 4515.00000000, 1242.67896095
0.00000000, 0.10000000, 0.00300000, 0.41072148, 10000.00000000, 5614.00000000, 1289.51386189
0.00000000, 0.10000000, 0.00400000, 0.56558631, 10000.00000000, 6877.00000000, 1419.51294464
0.00000000, 0.20000000, 0.00000000, 0.00000000, 10000.00000000, 2416.00000000, 1083.53218688
0.00000000, 0.20000000, 0.00100000, 0.28686413, 10000.00000000, 3355.00000000, 1143.86231689
0.00000000, 0.20000000, 0.00200000, 0.31519390, 10000.00000000, 4614.00000000, 1258.88680984
0.00000000, 0.20000000, 0.00300000, 0.40501499, 10000.00000000, 5634.00000000, 1296.13965297
0.00000000, 0.20000000, 0.00400000, 0.56583333, 10000.00000000, 6874.00000000, 1417.15913009
0.00000000, 0.30000000, 0.00000000, 0.00000000, 10000.00000000, 2416.00000000, 1083.53218688
0.00000000, 0.30000000, 0.00100000, 0.15929531, 10000.00000000, 3176.00000000, 1149.31544843
0.00000000, 0.30000000, 0.00200000, 0.33041872, 10000.00000000, 4563.00000000, 1260.59470092
0.00000000, 0.30000000, 0.00300000, 0.41502707, 10000.00000000, 5570.00000000, 1295.48832492
0.00000000, 0.30000000, 0.00400000, 0.57395805, 10000.00000000, 6872.00000000, 1417.18664967
0.05000000, 0.00000000, 0.00000000, 0.06800000, 10000.00000000, 680.00000000, 393.58099548
0.05000000, 0.00000000, 0.00100000, 0.12296126, 10000.00000000, 3117.00000000, 1138.85073649
0.05000000, 0.00000000, 0.00200000, 0.27004054, 10000.00000000, 4418.00000000, 1224.91632367
0.05000000, 0.00000000, 0.00300000, 0.41573788, 10000.00000000, 5649.00000000, 1290.84274798
0.05000000, 0.00000000, 0.00400000, 0.58253239, 10000.00000000, 7003.00000000, 1440.22255225
0.05000000, 0.05000000, 0.00000000, 0.21082996, 10000.00000000, 2203.00000000, 1041.84403823
0.05000000, 0.05000000, 0.00100000, 0.17860636, 10000.00000000, 3281.00000000, 1149.64559756
0.05000000, 0.05000000, 0.00200000, 0.28037139, 10000.00000000, 4497.00000000, 1234.33423350
0.05000000, 0.05000000, 0.00300000, 0.41914722, 10000.00000000, 5668.00000000, 1291.48674016
