spread|inertia|balancing|x flow error|x total|rest|Ux-f|x flow error in dict|x_true|x_est|f
0.00000000|0.00000000|0.00000000|0.00000000|10000.00000000|0.00000000|0.00000000|0.00000000|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  27   1   0 121  41  15  50 155   0   0   0 494   0 832   0   0   0   0 295 156   0   8  16   0   0  89   0   0   0  97 161   0   0   0  64   0   0  97   0  15   0   0  57 181   0   0   0   0   0   0  16   0   0  30  98   3   0   0   0  59   0   0   0   0   0  99   0  92 517   0   0  47  22   0   0   0   0   0   7  32   0 381  90 113  58   9   1   0  66   0   0 323   0   0   0  88  91  10   0 116   0   0 318   0   5   0   0  30   0  81   0   0   0  21   0   5   0   0  81  97  96 167  95  18  57  32   0   0   0   9  23  20  87  15   0   0  87  58  18   0   0  55  42   0 148 125   0 179  96   3 105   0  44 694   0   0 620  37   0  17  27  69   0 101  80   0   0   2   0 188   0   0 172   5   0   0 415  16]
0.00000000|0.00000000|0.00040000|0.18160083|10000.00000000|2127.00000000|988.28993721|0.64985181|[  1.14184397   2.67241379   1.           1.           1.           1.           1.           1.           5.0625       1.           1.01030928   1.           1.11538462   1.           1.           1.           1.22875817   1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.          49.33333333   1.           1.           1.           1.           1.          92.44444444   1.           4.61682243   1.16441441   1.           1.           2.05         1.           1.26923077   1.           1.           1.           1.           1.12790698   1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.03846154   1.           1.           1.           1.           1.           1.16666667   1.           1.           1.           1.6          1.           1.           1.           1.           3.           1.           1.           1.           1.           1.        ]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  26   1   0 121  20  15  50  58   0   0   0 107   0   9   0   0   0   0 295 156   0   8  16   0   0  89   0   0   0  97 141   0   0   0  64   0   0  86   0  15   0   0  57 181   0   0   0   0   0   0  16   0   0  30  97   0   0   0   0  59   0   0   0   0   0  78   0  92 444   0   0  47  22   0   0   0   0   0   7  32   0 381  90 113  58   9   0   0  66   0   0   0   0   0   0  55  91  10   0 116   0   0 318   0   5   0   0  30   0  16   0   0   0  18   0   0   0   0  81  97  96 167  95  18  57  32   0   0   0   0  23  20  78  15   0   0  87  58  18   0   0  55  42   0   3 125   0 179  96   1 105   0  44 694   0   0 620   0   0  17  27  69   0 101  80   0   0   0   0 153   0   0 172   5   0   0 415  16]
0.00000000|0.00000000|0.00080000|0.10218793|10000.00000000|2901.00000000|1112.11195480|0.21654906|[  1.82954545   1.           1.           1.           1.           1.           1.           1.           1.42028986   1.           1.61111111   1.           1.           1.           1.86138614   1.           1.           1.           1.           1.           1.11111111   1.05769231   1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.17391304   2.92090395   1.           1.          10.25         1.           2.60526316   1.           1.           1.           1.           1.83018868   1.04761905   1.           1.           1.04504505   1.           1.           1.           1.           1.           1.           1.           1.92857143   1.           1.           1.           1.           1.           1.4          1.           1.           1.           4.19047619   1.           1.           1.           1.           1.           1.           1.           1.           1.        ]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  14   1   0 121   4  15  50   0   0   0   0   0   0   0   0   0   0   0 295 156   0   8  16   0   0  89   0   0   0  97  88   0   0   0  64   0   0  53   0  15   0   0  57 181   0   0   0   0   0   0  16   0   0  27  69   0   0   0   0  59   0   0   0   0   0  38   0  92 177   0   0  47  22   0   0   0   0   0   7  32   0 381  90 113  58   9   0   0  63   0   0   0   0   0   0  21  91  10   0 111   0   0 318   0   5   0   0  30   0   0   0   0   0  15   0   0   0   0  81  97  96 167  95  18  57  32   0   0   0   0  23  20  54  15   0   0  87  58  18   0   0  52  42   0   0 125   0 179  96   0 105   0  44 694   0   0 620   0   0  17  23  69   0 101  80   0   0   0   0 101   0   0 172   5   0   0 415  16]
0.00000000|0.00000000|0.00120000|0.15408085|10000.00000000|3346.00000000|1157.27265586|0.41638202|[  2.98148148   2.5          1.           1.           1.           1.           1.           1.           2.72222222   1.           2.23076923   1.05454545   1.           1.           2.50666667   1.           1.           1.           1.           1.           1.57894737   1.71875      1.08860759   1.           1.           1.           1.           1.           1.           1.           1.10801394   1.           1.           1.           1.58823529   6.38271605   1.           1.           1.           4.5          1.           1.           1.           1.13084112   2.36585366   2.0625       1.           1.           1.75757576   1.           1.           1.           1.           1.           1.           1.           3.           1.           1.           1.           1.           1.           2.33333333   1.           1.           1.          29.33333333   1.           1.           1.           1.27777778   1.           1.           1.           1.           1.        ]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0   9   1   0 107   0  15  50   0   0   0   0   0   0   0   0   0   0   0 295 156   0   8  16   0   0  89   0   0   0  97  54   0   0   0  64   0   0  41   0  15   0   0  57 181   0   0   0   0   0   0  16   0   0  19  36   0   0   0   0  59   0   0   0   0   0  22   0  92  81   0   0  47  22   0   0   0   0   0   7  32   0 381  90 113  58   9   0   0  32   0   0   0   0   0   0   3  91  10   0  66   0   0 287   0   5   0   0  30   0   0   0   0   0   9   0   0   0   0  81  97  96 167  95  18  57  32   0   0   0   0  18  20  39  15   0   0  87  55  18   0   0  32  42   0   0 125   0 179  96   0 105   0  44 694   0   0 620   0   0  17  17  69   0 101  80   0   0   0   0  75   0   0 158   2   0   0 415  16]
0.00000000|0.00000000|0.00200000|0.26675479|10000.00000000|4453.00000000|1221.17361583|0.55734860|[  3.74418605   1.01724138   1.73214286   1.           1.03233831   1.1547619    1.           5.76470588   1.           3.625        2.07142857   2.09340659   1.           5.52941176  11.           1.           1.           1.           1.01685393   7.5          5.5          1.68627451   1.05454545   1.53225806   1.           1.           1.94444444   1.           1.           1.31404959   1.28         1.           1.08333333   2.07692308  14.77142857   1.05494505   1.           1.04444444   1.00725689   1.           1.55128205   3.23333333  11.           2.11864407   1.           5.27272727   1.9          1.00892857   1.           1.           1.           1.           1.14285714   6.75         1.           1.           1.           1.           1.           3.           1.06666667   1.0212766    1.           1.           1.           5.75         1.           1.7          1.           1.           1.25      ]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0   4   1   0  78   0  15  50   0   0   0   0   0   0   0   0   0   0   0 290 144   0   0  16   0   0  89   0   0   0  56  43   0   0   0  64   0   0  30   0  15   0   0  57 178   0   0   0   0   0   0  15   0   0   4  17   0   0   0   0  59   0   0   0   0   0   0   0  92  35   0   0  45  22   0   0   0   0   0   7  32   0 182  90 112  55   9   0   0   6   0   0   0   0   0   0   0  91  10   0  22   0   0 242   0   4   0   0  30   0   0   0   0   0   7   0   0   0   0  81  84  94 167  62  18  30  25   0   0   0   0   4  20  24  15   0   0  87  28  18   0   0  10  42   0   0  59   0 179  91   0  54   0   4 689   0   0 620   0   0  10  13  69   0   0  80   0   0   0   0  34   0   0 102   0   0   0 402  14]
0.00000000|0.05000000|0.00000000|0.00000000|10000.00000000|2374.00000000|1056.32570735|0.00000000|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  27   1   0 121  41  15  50 155   0   0   0   0   0   0   0   0   0   0 295 156   0   8  16   0   0  89   0   0   0  97 161   0   0   0  64   0   0  97   0  15   0   0  57 181   0   0   0   0   0   0   0   0   0  30   0   3   0   0   0  59   0   0   0   0   0  99   0  92 517   0   0   0  22   0   0   0   0   0   7  32   0 381  90 113   0   9   1   0  66   0   0 323   0   0   0  88  91  10   0 116   0   0   0   0   5   0   0  30   0   0   0   0   0  21   0   5   0   0  81  97  96 167  95  18  57  32   0   0   0   9  23  20  87   0   0   0  87   0  18   0   0  55  42   0   0 125   0 179  96   3 105   0  44 694   0   0 620   0   0  17  27  69   0 101  80   0   0   2   0 188   0   0   0   5   0   0 415  16]
0.00000000|0.05000000|0.00040000|0.20593441|10000.00000000|2373.00000000|996.72714421|0.58111376|[  1.14184397   2.67241379   1.           1.           1.           1.           1.           1.           5.0625       1.           1.66101695   1.           1.12987013   1.23404255   1.           1.           1.23684211   1.           1.           1.           1.           1.           1.           1.29323308   1.45         1.           1.           1.           1.           1.          49.33333333   1.           1.56650246   1.           1.           1.          48.94117647   1.           5.48888889   1.16704289   1.           1.           1.51851852   1.38235294   1.26923077   1.           1.           1.           1.           1.12790698   1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.           1.03846154   1.           1.           1.           1.           1.           1.16666667   1.           1.6          1.           1.27536232   1.           1.           1.           1.           3.           1.           1.           1.           1.           1.        ]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  26   1   0 121  27  15  50  58   0   0   0  90   0  17   0   0   0   0 295 156   0   8  16   0   0  89   0   0   0  97 141   0   0   0  64   0   0  86   0  15   0   0  57 181   0   0   0   0   0   0  10   0   0  30  59   0   0   0   0  59   0   0   0   0   0  78   0  92 443   0   0  34  22   0   0   0   0   0   7  32   0 381  90 113  40   9   0   0  66   0   0   0   0   0   0  69  91  10   0 116   0   0 203   0   5   0   0  30   0  16   0   0   0  18   0   0   0   0  81  97  96 167  95  18  57  32   0   0   0   0  23  20  77   0   0   0  87  47  18   0   0  55  42   0   3 125   0 179  96   1 105   0  44 694   0   0 620   0   0  17  27  69   0 101  80   0   0   0   0 152   0   0 133   5   0   0 415  16]
0.00000000|0.05000000|0.00080000|0.12176888|10000.00000000|3069.00000000|1123.63294719|0.17355177|[ 1.89411765  1.          1.          1.          1.          1.          1.          1.          1.42028986  1.          1.64150943  1.09433962  1.          1.          1.93814433  1.          1.          1.          1.          1.11111111  1.05769231  1.17808219  1.23404255  1.          1.          1.          1.          1.          1.          1.325       1.          1.          1.          1.          3.42384106  1.          1.          4.1         1.27027027  2.60526316  1.          1.          1.          1.          1.97959184  1.04761905  1.          1.          1.04504505  1.          1.          1.          1.          1.          1.          1.          1.92857143  1.          1.          1.          1.          1.          1.4         1.          1.23076923  1.          3.03448276  1.          1.          1.          1.          1.          1.          1.          1.          1.        ]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0  14   1   0 121  10  15  50   0   0   0   0   0   0   0   0   0   0   0 295 156   0   8  16   0   0  89   0   0   0  97  85   0   0   0  64   0   0  49   0  15   0   0  57 181   0   0   0   0   0   0  13   0   0  27  69   0   0   0   0  59   0   0   0   0   0  38   0  92 151   0   0  37  22   0   0   0   0   0   7  32   0 381  90 113  47   9   0   0  63   0   0   0   0   0   0  29  91  10   0 111   0   0 240   0   5   0   0  30   0   0   0   0   0  15   0   0   0   0  81  97  96 167  95  18  57  32   0   0   0   0  23  20  53   0   0   0  87  53  18   0   0  52  42   0   0 125   0 179  96   0 105   0  44 694   0   0 620   0   0  17  27  69   0 101  80   0   0   0   0  97   0   0 146   5   0   0 415  16]
0.00000000|0.05000000|0.00120000|0.16902305|10000.00000000|3476.00000000|1167.60095923|0.31636738|[ 3.09615385  2.5         1.          1.          1.          1.          1.          1.          2.96969697  1.          2.28947368  1.11538462  1.          1.          2.84848485  1.          1.          1.          1.          1.57894737  1.71875     1.22857143  1.23404255  1.          1.          1.          1.          1.          1.          1.38864629  1.          1.          1.          1.          7.95384615  1.          1.          1.23684211  4.5         1.          1.          1.          1.13084112  2.48717949  2.0625      1.          1.          1.75757576  1.          1.          1.          1.          1.          1.          1.          3.          1.          1.          1.          1.          1.          2.33333333  1.          1.23076923  1.          6.76923077  1.          1.          1.          1.27777778  1.          1.          1.          1.          1.        ]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0   9   1   0 107   0  15  50   0   0   0   0   0   0   0   0   0   0   0 295 156   0   8  16   0   0  89   0   0   0  97  52   0   0   0  64   0   0  39   0  15   0   0  57 181   0   0   0   0   0   0  13   0   0  19  33   0   0   0   0  59   0   0   0   0   0  22   0  92  65   0   0  38  22   0   0   0   0   0   7  32   0 381  90 113  47   9   0   0  32   0   0   0   0   0   0  13  91  10   0  66   0   0 229   0   5   0   0  30   0   0   0   0   0   9   0   0   0   0  81  97  96 167  95  18  57  32   0   0   0   0  18  20  38   0   0   0  87  52  18   0   0  32  42   0   0 125   0 179  96   0 105   0  44 694   0   0 620   0   0  17  27  69   0 101  80   0   0   0   0  66   0   0 140   2   0   0 415  16]
0.00000000|0.05000000|0.00200000|0.27666049|10000.00000000|4533.00000000|1229.25221171|0.58616355|[  3.83333333   1.00340136   1.73214286   1.           1.01965602   1.1547619    1.           4.66666667   1.           3.95454545   2.23076923   2.09340659   1.           6.06451613   7.33333333   1.           1.           1.01117318   7.5          5.5          1.89010989   1.18367347   1.53225806   1.           1.           1.94444444   1.           1.           1.59         1.28         1.           1.09090909   1.28571429  19.88461538   1.10344828   1.           1.27027027   1.001443     1.           1.55128205   3.46428571  11.           2.11864407   1.           5.27272727   1.9          1.00892857   1.           1.           1.           1.           1.14285714   9.           1.           1.           1.           1.           1.           3.           8.           1.23076923   1.0212766    1.           1.           1.           5.75         1.           1.7          1.           1.           1.25      ]|[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]|[  0   3   1   0  78   0  15  50   0   0   0   0   0   0   0   0   0   0   0 294 143   0   1  16   0   0  89   0   0   0  56  42   0   0   0  64   0   0  28   0  15   0   0  57 179   0   0   0   0   0   0  13   0   0   4  21   0   0   0   0  59   0   0   0   0   0   0   0  92  26   0   0  37  22   0   0   0   0   0   7  32   0 182  90 112  49   9   0   0   6   0   0   0   0   0   0   0  91  10   0  22   0   0 200   0   4   0   0  30   0   0   0   0   0   7   0   0   0   0  81  84  94 167  62  18  30  25   0   0   0   0   4  20  22   0   0   0  87  26  18   0   0  10  42   0   0  59   0 179  87   0  54   0   6 693   0   0 620   0   0  10  21  69   0   0  80   0   0   0   0  31   0   0  91   0   0   0 407  14]
